iter	RMSE
817	6653.827489
818	6649.480929
819	6637.9598
820	6627.995238
821	6617.182379
822	6608.229654
823	6607.400704
824	6602.293487
825	6592.228653
826	6587.663463
827	6579.375306
828	6571.105358
829	6570.157372
830	6562.791101
831	6549.521144
832	6542.160624
833	6534.069457
834	6527.803409
835	6521.783317
836	6512.684589
837	6504.348519
838	6492.269177
839	6482.72486
840	6470.673802
841	6459.789461
842	6444.230287
843	6435.70877
844	6428.225577
845	6421.90328
846	6421.170507
847	6414.414176
848	6409.063202
849	6403.991319
850	6391.773442
851	6378.82684
852	6370.564087
853	6360.233806
854	6359.875412
855	6357.653503
856	6350.514588
857	6341.279996
858	6331.982349
859	6324.981549
860	6319.013764
861	6316.350529
862	6314.122663
863	6306.742803
864	6301.128455
865	6291.593725
866	6291.170334
867	6281.578752
868	6275.750116
869	6268.682528
870	6265.985389
871	6264.6057
872	6256.556796
873	6249.777664
874	6234.29526
875	6227.188187
876	6218.045289
877	6211.677405
878	6209.543209
879	6202.927796
880	6196.887488
881	6181.942446
882	6174.32426
883	6173.028882
884	6169.644045
885	6162.431398
886	6155.805685
887	6152.2517
888	6150.90196
889	6146.211309
890	6139.490556
891	6128.766808
892	6124.881208
893	6114.376897
894	6108.210084
895	6101.035471
896	6090.957767
897	6086.290087
898	6081.151167
899	6080.432447
900	6080.063215
901	6070.223453
902	6062.017116
903	6047.698713
904	6041.959307
905	6030.881098
906	6030.053927
907	6022.263701
908	6010.593819
909	5997.684993
910	5988.241567
911	5981.856663
912	5975.784181
913	5971.660313
914	5959.739486
915	5953.834226
916	5944.21744
917	5933.521025
918	5926.954351
919	5925.895869
920	5925.406618
921	5911.180414
922	5900.832046
923	5896.865899
924	5892.361731
925	5889.418926
926	5888.771665
927	5878.090765
928	5873.249774
929	5867.339101
930	5855.285781
931	5843.270058
932	5837.887232
933	5831.9007
934	5823.014442
935	5813.56651
936	5806.81542
937	5800.390732
938	5796.594992
939	5786.632879
940	5773.726788
941	5761.271371
942	5757.097076
943	5748.615304
944	5748.019698
945	5742.003594
946	5740.006417
947	5731.536492
948	5727.827331
949	5717.66501
950	5710.399439
951	5704.94623
952	5695.426315
953	5687.276521
954	5675.398442
955	5669.934137
956	5662.220629
957	5654.241652
958	5646.06152
959	5640.202264
960	5633.652726
961	5622.612581
962	5616.870965
963	5616.420757
964	5609.518842
965	5599.912625
966	5594.135756
967	5586.770042
968	5580.016595
969	5573.768465
970	5566.980506
971	5558.767185
972	5555.18441
973	5548.194296
974	5539.158119
975	5530.653886
976	5527.482082
977	5521.318117
978	5514.371137
979	5508.534492
980	5504.161058
981	5496.605022
982	5488.124259
983	5481.53474
984	5481.077456
985	5480.739339
986	5480.004465
987	5473.025529
988	5466.304194
989	5458.702462
990	5451.697159
991	5443.582203
992	5436.888161
993	5430.933497
994	5426.822067
995	5420.351569
996	5417.391257
997	5413.208539
998	5402.201509
999	5394.569921
